연도 ,지역,업종명,규모,사업장명(현장명),소재지,중대재해재해자수(명),근로자수(명),재해자수(명),재해율(퍼센트),규모별 동종업종 평균 재해율(퍼센트)
2020,서울,건설업,50인미만,"(주)두화공영(원청), 지에이치㈜(하청)(서대문보훈회관 신축공사(건축) 장기계속-1차)",서울 서대문구 증가로 43 (연희동),1,7,1,14.29,1.82
2020,서울,건설업,50인미만,(주)에코21이앤씨(자양동 598-13 근생 및 다세대주택 신축공사),"서울 광진구 자양동 598-13,18,21호",1,7,1,14.29,1.82
2020,서울,건설업,50인미만,"(주)적산건설(거여현대2차아파트 내, 외부 균열보수 및 재도장, 옥상우레탄방수)","서울 송파구 오금로61길 20 (거여동, 현대아파트)",1,7,1,14.29,1.82
2020,서울,건설업,50인미만,지수테크(코다리 명가 인테리어 공사),서울 서초구 마방로2길 26 (양재동),1,7,1,14.29,1.82
2020,광주,기계기구·금속·비금속광물제품제조업,50인미만,주식회사엘에스에어테크,광주 북구 하남대로 537 933-66,1,7,1,14.29,1.12
2020,강원,건설업,50인미만,(주)평산건설(2020년 대관령지사 도로시설물 연간 유지보수공사),강원 평창군 진부면 대관령지사 일원,1,7,1,14.29,1.82
2020,충북,화학 및 고무제품제조업,50인미만,유로케미칼,충북 충주시 충주호수로 36 (목행동),1,7,1,14.29,0.82
2019,인천,건설업,50인미만,"피케이종합건설주식회사(원청), 다진건설(주)(하청)(인천 당하동 프런치 빌딩 신축공사)",인천 서구 당하동 1028-6,1,22,3,13.64,2
2019,경북,유리·도자기·시멘트제조업,50인미만,"(주)포스코케미칼(원청), (주)보금(하청)",경북 포항시 남구 서원재로 7 포스렉내 (호동),2,15,2,13.33,1.17
2020,부산,섬유 및 섬유제품제조업,50인미만,㈜명성제강,부산 기장군 정관면 산단로 632-50 (정관면),1,15,2,13.33,0.65
2020,강원,기타의 각종사업,50인미만,(재)경춘공원묘원,강원 춘천시 서면 안보리 산 90-21번지 (재)경춘공원묘원,1,31,4,12.9,0.46
2020,전북,건설업,50인미만,"(주)SH에너지화학(원청), (유)제일엔지니어링(하청)(정기 T.A관련 기계 장치 설치공사)",전북 군산시 외항7길 20 (소룡동),3,24,3,12.5,1.82
2020,경기,수제품 및 기타제품제조업,50인미만,(주)에스에이치리싸이클링,경기 파주시 조리읍 당재봉로 48-43,2,16,2,12.5,0.95
2020,경북,석회석·금속·비금속광업 및 기타광업,50인미만,경신산업(주) 경산지점,경북 경산시 와촌면 얼음장골길 48 (경신산업주),1,16,2,12.5,3.14
2018,경북,기계기구ㆍ비금속광물제품ㆍ금속제품제조업 또는 금속가공업,50인 미만,(주)청경,경북 경주시 외동읍 냉천제내공단길 233 (제내리) (청경그린산업㈜),1,8,1,12.5,1.43
2019,광주,건설업,50인미만,"효산종합건설(주)(원청), 장평섭(개인건설업자)(하청)(광주 북구 장등동 172-9근생및주택 신축공사)",광주 북구 장등동 172-9,1,8,1,12.5,2
2019,경기,"기계기구, 비금속광물 및 금속제품제조업",50인미만,태웅산업개발주식회사,경기 연천군 청산면 아우라지길 18 (청산면),1,8,1,12.5,1.39
2019,경기,"기계기구, 비금속광물 및 금속제품제조업",50인미만,(주)진보테크,경기 김포시 월곶면 비석동로50번길 122-75 ,1,8,1,12.5,1.39
2020,부산,건설업,50인미만,"동국제강주식회사(원청), (주)백운(하청)(부산공장 설비보수단가계약_정수 및 크레인 보수)",부산 남구 신선로 102 (감만동) 동국제강 부산공장,1,8,1,12.5,1.82
2020,경기,건설업,50인미만,(주)대일토건이엔지(고양시 덕양구 향동동 208-2 근생공사 중 흙막이공사),경기 고양시 덕양구 향동동 208-2,1,8,1,12.5,1.82
2020,충남,건설업,50인미만,우리해양㈜(침몰선박(퍼시픽프렌드호) 잔존유 확인),충남 태안군 소원면 자두서방 해상 1.7마일 인근,1,8,1,12.5,1.82
2020,전남,건설업,50인미만,씨케이건설(주)(국도2호선 강진군 성전면 월평리 등 4개소 포장도 보수공사),전남 강진군 성전면 월평리 일대,1,8,1,12.5,1.82
2020,경북,식료품제조업,50인미만,농업회사법인주식회사예천청결고추,경북 예천군 용문면 유용로 803 (예천청결고추),1,8,1,12.5,1.14
2020,경남,건설업,50인미만,"광진종합건설주식회사(원청), 주식회사우양아트텍(하청)(대천김㈜ 냉동창고 신축공사 중 우레탄방열공사)",경남 양산시 어실로 351 (어곡동),1,8,1,12.5,1.82
2020,경남,건설업,50인미만,산림조합중앙회(2019년 국립용지봉자연휴양림 2차년도 부지조성 및 토목공사),경남 김해시 대청동 산 63-2,1,8,1,12.5,1.82
2020,경기,건설업,50인미만,(주)비엠종합건설(대성리 602-1 숙박시설공사),경기 가평군 청평면 대성리 602-1,2,17,2,11.76,1.82
2019,울산,화학 및 고무제품제조업,50인미만,(주)일터,울산 울주군 언양읍 공촌3길 6-23 ,3,43,5,11.63,1.01
2020,경기,건설업,50인미만,주식회사시월종합건설((가칭)옥정5중학교 신축공사),경기 양주시 옥정동 1082번지 일원,1,26,3,11.54,1.82
2020,경기,시설관리 및 사업지원서비스업,50인미만,개인사업자 김장기(정원조경/2019년동승골프앤리조트용역계약건),경기 이천시 모가면 사실로 527번길 158 (뉴스프링C.C),2,36,4,11.11,0.58
2019,강원,건설업,50인미만,주식회사반곡토건(치악새마을금고단관지점신축공사및인테리어공사),강원 원주시 치악로 1505 (관설동),1,9,1,11.11,2
2020,강원,건설업,50인미만,"㈜동성(원청), ㈜대광전력(하청)(웰리힐리파크 우용리 송수배관교체공사)",강원 횡성군 둔내면 고원로 451 웰리힐리파크,1,9,1,11.11,1.82
2020,경기,화학 및 고무제품제조업,50인미만,동명화학,경기 김포시 대곶면 상마신기로 63 ,1,9,1,11.11,0.82
2020,경북,기계기구·금속·비금속광물제품제조업,50인미만,(주)대성정밀,경북 경산시 진량읍 공단7로 139 ,1,9,1,11.11,1.12
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,태현정밀,경남 창원시 마산회원구 내서읍 수곡로 71-113 (내서읍),1,9,1,11.11,1.12
2020,경남,건설업,50인미만,"미조건설(주)(원청), 대창강건(주)(하청)(디에스미래기술(주) 장목 엔지니어링센터 건립공사)",경남 거제시 장목면 장목리 402-29,1,9,1,11.11,1.82
2019,충남,건설업,50~99인,"(주)라테르종합건설(원청), 주식회사도시산업개발(하청)(금산읍 아인리 송림아파트 48세대 신축공사)",충남 금산군 금산읍 비단로 403 154-3번지 외 2필지,3,57,6,10.53,0.9
2019,전북,"기계기구, 비금속광물 및 금속제품제조업",50인미만,서해목형포금,전북 군산시 옥산면 산성로 58-4 ,2,20,2,10,1.39
2019,울산,건설업,50인미만,"엘에스니꼬동제련(주)(원청), 그린도장(하청)(1,2 탈황 Stack 도장공사)",울산 울주군 온산읍 산암로 148 0,1,10,1,10,2
2019,경기,화학 및 고무제품제조업,50인미만,동구산업(주),경기 파주시 광탄면 우랑길 36-27 ,1,10,1,10,1.01
2020,서울,건설업,50인미만,주식회사산마루종합건설(신림 473-4 신축공사),서울 관악구 관천로25길 22 (신림동),1,10,1,10,1.82
2020,충남,기계기구·금속·비금속광물제품제조업,50인미만,"아주산업(주)아산공장(원청), 신원산업주식회사 (하청)",충남 아산시 둔포면 관용로 12-11,1,10,1,10,1.12
